2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Booting market-data pipeline
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Running startup sync...
2026-02-15 17:22:39 | MainProcess | ERROR | [MAIN] Startup sync failed: name 'log' is not defined
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Continuing with live mode...
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Starting gap watchdog thread...
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Starting workers...
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Starting worker → app.binance.coins_with_liquidity
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] Starting worker → app.binance.ws.ws_engine
2026-02-15 17:22:39 | MainProcess | INFO | [MAIN] All workers started successfully
2026-02-15 17:22:45 | MainProcess | INFO | [MAIN] Shutdown signal received
2026-02-15 17:22:55 | MainProcess | INFO | [MAIN] All workers stopped
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Booting market-data pipeline
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Running startup sync...
2026-02-15 17:24:07 | MainProcess | ERROR | [MAIN] Startup sync failed: name 'log' is not defined
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Continuing with live mode...
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Starting gap watchdog thread...
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Starting workers...
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Starting worker → app.binance.coins_with_liquidity
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] Starting worker → app.binance.ws.ws_engine
2026-02-15 17:24:07 | MainProcess | INFO | [MAIN] All workers started successfully
2026-02-15 17:25:39 | MainProcess | INFO | [MAIN] Shutdown signal received
2026-02-15 17:25:49 | MainProcess | INFO | [MAIN] All workers stopped
